Splaygrootte,Tijd,Aantal elementen
3,6487,1000000
4,7464,1000000
5,6580,1000000
6,6450,1000000
7,5893,1000000
8,6848,1000000
9,5638,1000000
10,6676,1000000
11,6405,1000000
12,6056,1000000
13,5135,1000000
14,4423,1000000
15,5651,1000000
16,6459,1000000
17,6295,1000000
18,6079,1000000
19,5973,1000000
20,5816,1000000
21,5465,1000000
22,4952,1000000
23,4204,1000000
24,3630,1000000
25,3325,1000000
26,2836,1000000
27,3027,1000000
28,3453,1000000
29,3244,1000000
30,2893,1000000
31,2804,1000000
32,2778,1000000
33,2472,1000000
34,2529,1000000
35,2359,1000000
36,2433,1000000
37,2380,1000000
38,2366,1000000
39,2236,1000000
40,2331,1000000
41,2357,1000000
42,2262,1000000
43,2318,1000000
44,2316,1000000
45,2346,1000000
46,2500,1000000
47,2424,1000000
48,2458,1000000
49,2509,1000000
50,2670,1000000
51,2608,1000000
52,2611,1000000
53,2699,1000000
54,2629,1000000
55,2609,1000000
56,2631,1000000
57,2715,1000000
58,2702,1000000
59,2777,1000000
60,2885,1000000
61,2911,1000000
62,2880,1000000
63,2952,1000000
