Splaygrootte,Diepte,Aantal elementen
3,203,1000000
4,290,1000000
5,134,1000000
6,149,1000000
7,302,1000000
8,309,1000000
9,317,1000000
10,313,1000000
11,177,1000000
12,166,1000000
13,173,1000000
14,151,1000000
15,303,1000000
16,310,1000000
17,263,1000000
18,291,1000000
19,296,1000000
20,287,1000000
21,257,1000000
22,243,1000000
23,155,1000000
24,160,1000000
25,138,1000000
26,137,1000000
27,114,1000000
28,109,1000000
29,100,1000000
30,91,1000000
31,164,1000000
32,149,1000000
33,147,1000000
34,134,1000000
35,125,1000000
36,122,1000000
37,110,1000000
38,106,1000000
39,87,1000000
40,79,1000000
41,72,1000000
42,62,1000000
43,58,1000000
44,55,1000000
45,52,1000000
46,51,1000000
47,52,1000000
48,52,1000000
49,52,1000000
50,49,1000000
51,50,1000000
52,50,1000000
53,51,1000000
54,52,1000000
55,52,1000000
56,54,1000000
57,55,1000000
58,56,1000000
59,57,1000000
60,57,1000000
61,59,1000000
62,60,1000000
63,61,1000000
